,Row, State, Health Care, Education, Economy, Infrastracture, Opportunity, Fiscal Stability, Crime&Corrections, Natural Enviroment
0,1,Utah,7,5,1,4,20,1,15,46
1,2,Washington,11,10,13,6,31,4,19,4
2,3,Idaho,14,22,2,10,19,2,9,23
3,4,Nebraska,23,7,10,5,16,11,26,12
4,5,Minnesota,15,21,15,1,9,21,20,7
5,6,New Hampshire,17,19,4,30,1,41,1,8
6,7,Iowa,22,13,31,11,3,8,16,21
7,8,Wisconsin,12,6,22,27,8,7,25,29
8,9,Vermont,18,15,20,20,2,42,3,13
9,10,Florida,27,1,7,14,46,13,17,17
10,11,Massachusetts,3,3,9,42,40,43,4,3
11,12,South Dakota,33,18,19,9,12,3,42,6
12,13,Virginia,19,11,18,38,23,10,7,20
13,14,North Dakota,30,28,41,2,4,6,30,10
14,15,Colorado,13,4,3,21,42,26,45,28
15,16,Connecticut,5,8,17,24,44,48,8,18
16,17,North Carolina,26,16,14,25,25,9,32,25
17,18,Delaware,16,30,16,29,5,17,33,45
18,19,New Jersey,8,2,24,35,43,49,5,26
19,20,New York,9,9,45,28,49,29,11,2
20,21,Georgia,41,27,11,15,22,24,24,14
21,22,Maryland,4,23,42,39,28,28,14,5
22,23,Oregon,21,39,25,3,30,27,39,11
23,24,Tennessee,34,33,12,16,26,5,41,31
24,25,Montana,35,25,6,18,27,22,37,33
25,26,Wyoming,42,14,40,12,15,30,21,27
26,27,Kansas,40,26,23,7,10,36,28,39
27,28,Maine,25,34,32,41,6,35,2,24
28,29,Indiana,43,17,26,26,7,25,22,50
29,30,Missouri,39,31,21,33,14,12,44,15
30,31,Hawaii,1,24,48,37,45,46,10,1
31,32,Rhode Island,2,40,27,48,37,44,6,9
32,33,California,6,20,29,34,50,39,23,30
33,34,Ohio,29,29,37,32,11,14,31,42
34,35,Texas,32,35,8,13,47,16,36,40
35,36,Illinois,28,12,39,19,35,50,12,38
36,37,Arizona,24,45,5,17,39,34,38,43
37,38,Nevada,31,38,30,8,34,31,27,48
38,39,Kentucky,46,32,43,23,13,45,13,22
39,40,Pennsylvania,10,36,38,46,17,47,29,35
40,41,Michigan,20,37,36,43,21,37,35,36
41,42,South Carolina,36,42,28,31,38,18,46,19
42,43,Oklahoma,48,48,34,22,24,23,43,37
43,44,Alabama,44,44,33,36,32,20,40,47
44,45,Arkansas,47,43,35,40,29,19,49,34
45,46,West Virginia,50,47,47,50,18,32,18,41
46,47,New Mexico,38,50,44,44,41,15,47,32
47,48,Mississippi,49,41,49,47,36,40,34,16
48,49,Alaska,37,49,46,45,33,33,48,44
49,50,Louisiana,45,46,50,49,48,38,50,49
